representation,source_f1_mean,source_f1_std,target_zero_shot_f1_mean,target_zero_shot_f1_std,transfer_drop,source_seeds,f1_50_mean,f1_50_std,n_seeds_50,f1_100_mean,f1_100_std,n_seeds_100,f1_250_mean,f1_250_std,n_seeds_250,f1_500_mean,f1_500_std,n_seeds_500
temporal_reconstructed,0.9594790620862236,0.004286996072182946,0.8148679559954028,0.0029925728297924034,0.14461110609082073,3,0.8105734441589971,0.023472441741151834,30,0.8259254045538084,0.013892986116432582,30,0.8520958961000676,0.006020717478905049,5,0.8593941599690257,0.006348102284671695,30
alphaearth,0.9648148148148149,0.0032075014954979094,0.836000375140839,0.002388481842093658,0.12881443967397588,3,0.8705941522422209,0.01211949037244739,30,0.8773785770380074,0.009458865673216781,30,0.8929956346443264,0.002705010683790764,5,0.8981255940158359,0.004132435235450902,30
presto_primary,0.9487277493504144,0.005578862137251062,0.8262491894429099,0.0021305325447150275,0.12247855990750445,3,0.812559498491344,0.04383517413190696,30,0.8436111627626754,0.02574083550126544,30,0.8675650131089221,0.012814690100736832,5,0.8840005378842598,0.006842943830487106,30
galileo,0.9416074057439429,0.0014867017935566846,0.8220958587689197,0.0012240577022553018,0.1195115469750232,3,0.8262330777318154,0.029198892505455123,30,0.8443438122006593,0.01274272236127162,30,0.8515087153249684,0.020191480651910985,5,0.8616940676804459,0.005631891925299256,30
