representation,raw_min,raw_max,clipped_fraction,effective_sample_size
temporal_reconstructed,2.1878426969839676e-06,0.20992663195256991,0.9988235294117647,848.7978535612044
alphaearth,7.748740904262342e-08,0.02041045539413982,1.0,849.9999999999997
presto_primary,7.748740904262342e-08,0.2871140339250524,0.9976470588235294,846.5235841214923
galileo,7.748740904262342e-08,141.56736568592098,0.9635294117647059,43.24118672557462
