representation,score,domain_auroc,domain_auprc,domain_target_prevalence,error_auroc,error_auprc,error_prevalence,sample_spearman,block_spearman,error_auroc_ci_low,error_auroc_ci_high,bootstrap_valid,aurc,risk_at_50,risk_at_70,risk_at_80,risk_at_90,risk_at_100
temporal_reconstructed,euclidean_nn,1.0,1.0,0.8975530179445351,0.3688296971324525,0.1757081060900145,0.2337331879316612,-0.1922987106685524,-0.3766325999777406,0.3007407748052775,0.4375547358505743,500,0.2911139147808506,0.2914244186046512,0.268951194184839,0.2685143116765107,0.258481421647819,0.2337331879316612
temporal_reconstructed,cosine_nn,0.9953659005295122,0.9988276863720252,0.8975530179445351,0.4616040943041542,0.2053460044287233,0.2337331879316612,-0.0562892896366447,0.2658189194509565,0.4015905962046427,0.5302667188200237,500,0.2513534709632695,0.2449127906976744,0.2481827622014538,0.2512494320763289,0.2463651050080775,0.2337331879316612
temporal_reconstructed,cosine_knn,0.9945960588737852,0.997755122579886,0.8975530179445351,0.455658809954524,0.2029439111862092,0.2337331879316612,-0.0650052145100584,0.2524275381184145,0.3950806406405943,0.5253072725143962,500,0.2545661274573882,0.2434593023255813,0.2533748701973001,0.2521581099500227,0.2483844911147011,0.2337331879316612
temporal_reconstructed,mahalanobis,1.0,1.0,0.8975530179445351,0.3744020409548457,0.1768397353172578,0.2337331879316612,-0.184129525197279,-0.3779717381109947,0.3074113246965093,0.4421917876319051,500,0.2843609910182655,0.2885174418604651,0.2694704049844236,0.2703316674238982,0.258481421647819,0.2337331879316612
temporal_reconstructed,centroid,0.999984950463873,0.9999982791102994,0.8975530179445351,0.369455322388826,0.1759521156574448,0.2337331879316612,-0.1913815295390211,-0.3766325999777406,0.3011018360424561,0.4376659407477774,500,0.2959975119629072,0.2921511627906977,0.2694704049844236,0.2676056338028169,0.258481421647819,0.2337331879316612
temporal_reconstructed,entropy,0.7804318985337122,0.9562635274762852,0.8975530179445351,0.5235804651464759,0.2901379607217208,0.2337331879316612,0.0345695096031827,-0.2668232730508971,0.4516024708827333,0.5847620231096179,500,0.232015509327413,0.2252906976744186,0.2159916926272066,0.214447978191731,0.2189014539579967,0.2337331879316612
temporal_reconstructed,confidence,0.7804318985337122,0.9562635274762852,0.8975530179445351,0.5235804651464759,0.2901379607217208,0.2337331879316612,0.0345695096031827,-0.1831271397225103,0.4516024708827333,0.5847620231096179,500,0.232015509327413,0.2252906976744186,0.2159916926272066,0.214447978191731,0.2189014539579967,0.2337331879316612
temporal_reconstructed,margin,0.7804318985337122,0.9562635274762852,0.8975530179445351,0.5235804651464759,0.2901379607217208,0.2337331879316612,0.0345695096031827,-0.1831271397225103,0.4516024708827333,0.5847620231096179,500,0.232015509327413,0.2252906976744186,0.2159916926272066,0.214447978191731,0.2189014539579967,0.2337331879316612
temporal_reconstructed,vote_uncertainty,0.7909526819431035,0.9570276205567168,0.8975530179445351,0.5269989022047389,0.2622809633493739,0.2337331879316612,0.0395815499737909,-0.017743580265618,0.4655828493435816,0.5881529842591767,500,0.2373744898038848,0.2253334473324213,0.2130180307750401,0.2146246655560603,0.2251259146631189,0.2337331879316612
temporal_reconstructed,tree_variance,0.7665539109113767,0.9535203074883284,0.8975530179445351,0.5434403782081738,0.3002134859415112,0.2337331879316612,0.0636846034336087,-0.2497492618519062,0.4698046037559675,0.610220655614783,500,0.2236861476454468,0.2180232558139535,0.2082035306334372,0.2076328941390277,0.2140549273021001,0.2337331879316612
temporal_reconstructed,domain_probability,1.0,1.0,0.8975530179445351,0.443911367787972,0.211874034160982,0.2337331879316612,-0.1012972498077953,-0.170740111989909,0.4191423280296868,0.4664104131500473,500,0.2687351347919908,0.2618238744355532,0.2457745538598093,0.2407577739615304,0.2368553837821745,0.2337331879316612
alphaearth,euclidean_nn,0.9818803585031036,0.9973560813709365,0.8975530179445351,0.7870257736448638,0.5185546935717614,0.227917121046892,0.417092119321899,0.8195525375515637,0.7321199906463299,0.8403222198084663,500,0.0927666640123275,0.0741279069767441,0.1230529595015576,0.1640163562017265,0.1910339256865912,0.227917121046892
alphaearth,cosine_nn,0.9767878270090552,0.996548257693746,0.8975530179445351,0.799530016189249,0.5089162418570046,0.227917121046892,0.4352626862891979,0.8235699519513262,0.7460260302435816,0.8488553715907252,500,0.086854319880144,0.0617732558139534,0.1220145379023883,0.1599273057701045,0.1930533117932148,0.227917121046892
alphaearth,cosine_knn,0.9591416670718464,0.9935375443242956,0.8975530179445351,0.7976629212133226,0.4638939894362733,0.227917121046892,0.4325495131528718,0.8399743940836899,0.7439306719159063,0.8471657220248184,500,0.0838340559338726,0.0537790697674418,0.1261682242990654,0.1694684234438891,0.1978998384491114,0.227917121046892
alphaearth,mahalanobis,0.9944664013317682,0.9990857264782572,0.8975530179445351,0.7602038824161929,0.5042682910644871,0.227917121046892,0.3781158304320093,0.4345503242409842,0.693785516729845,0.8206351315259756,500,0.1013285276870508,0.1097383720930232,0.1381100726895119,0.1590186278964107,0.1861873990306946,0.227917121046892
alphaearth,centroid,0.8748619494474505,0.9729155134574988,0.8975530179445351,0.6723178859664142,0.3419055256857614,0.227917121046892,0.250404105985869,0.6695690666270944,0.6169730024559735,0.7333001648399178,500,0.161402062423675,0.127906976744186,0.1495327102803738,0.1758291685597455,0.2140549273021001,0.227917121046892
alphaearth,entropy,0.7971820322430524,0.9607558498592564,0.8975530179445351,0.7552329720037124,0.4298862260581485,0.227917121046892,0.370892341292782,0.0910613930612848,0.6807199056967503,0.8070996389849313,500,0.0984533866249811,0.0734011627906976,0.1583592938733125,0.1721944570649704,0.1954765751211631,0.227917121046892
alphaearth,confidence,0.7971820322430524,0.9607558498592564,0.8975530179445351,0.7552329720037124,0.4298862260581485,0.227917121046892,0.370892341292782,0.149313901857842,0.6807199056967503,0.8070996389849313,500,0.0984533866249811,0.0734011627906976,0.1583592938733125,0.1721944570649704,0.1954765751211631,0.227917121046892
